№,Английское слово,Перевод на русский,№,Английское слово,Перевод на русский
1,the [ðə:],определенный артикль,168,himself [him'self],себя; сам
2,and [ænd],"и; а, но",169,friend [frend],друг
3,a [ə],неопределенный артикль,170,felt [felt],"чувствовал, войлок"
4,to [tu:],"к, в, на, до, для",171,three [θri:],три
5,was [wɔz],"был, была, было;",172,knew [nju:],знал
6,I [ʌi],я,173,another [ə'nʌðə],другой
7,is [iz],3- е л. ед. ч. наст. врем. гл. to be,174,once [wʌn(t)s],"один раз, однажды, когда-то"
8,of [ɔv],"из, от, о, об",175,give  [giv],давать
9,that [ðæt],"тот, та, то",176,almost ['ɔ:lməust],почти
10,you [ju:],"ты, вы",177,mind [maind],разум; мнение
11,he [hi:],он,178,took [tuk],"брал, хватал"
12,it [it],"он, она, оно; это",179,light [lait],свет; освещать(ся)
13,in [in],в,180,yes [jes],да
14,his [hiz],его,181,love [lʌv],"любовь, любить"
15,had [hæd],"имел, получал",182,end [end],конец; кончать(ся)
16,do  [du:],делать,183,boy [bɔi],"мальчик, парень"
17,with [wið],"с, вместе с",184,looking ['lukiŋ],смотреть
18,not [nɔt],"не, нет; ни",185,while [(h)wail],в то время как
19,her [hз:],её,186,sound [saund],звук; звучать
20,for [fɔ:],"в течение, на, для",187,moment ['məumənt],"миг, момент"
21,on [ɔn],на,188,men [men],"люди, мужчины"
22,at [æt],"около, у; в, на",189,ever ['evə],когда-либо
23,but [bʌt],"только, лишь, кроме, но, а",190,under ['ʌndə],под; ниже
24,she [ʃi:],она,191,told [təuld],"говорил, рассказывал"
25,him [him],его,192,really ['riəli],действительно
26,as [æz],"как, когда",193,life [laif],жизнь
27,are [a:(r)],мн. ч. наст. врем. гл. to be,194,world [wз:ld],"мир, свет; вселенная"
28,said [sed],"говорил, сказал",195,same [seim],тот же самый
29,they [ðei],они,196,sure [ʃuə],уверенный; конечно
30,we [wi:],мы,197,new [nju:],новый
31,all [ɔ:l],"все, вся, всё",198,found [faund],"находил, встречал"
32,this [ðis],"этот, эта, это",199,being ['bi:iŋ],"жизнь, существование"
33,have [hæv],иметь; получать; быть должным,200,enough [i'nʌf],достаточно
34,there [ðɛə],"там, туда, здесь",201,gone [gɔn],"ушли, ушёл, ушедший"
35,what [(h)wɔt],что,202,many ['meni],"много, многие"
36,out [aut],"вне, снаружи; за",203,big [big],большой
37,up [ʌp],"наверх(у), выше; вверх по, вдоль по",204,does [dʌz],3-е л. ед. наст. времени от do
38,one [wʌn],один,205,every ['evri],"каждый, всякий"
39,from [frɔm],"от, из, с",206,began [bi'gæn],"начинал, начиналось"
40,me [mi:],"мне, меня",207,always ['ɔ:lweiz],всегда
41,go  [gəu],"идти, ехать ; уходить",208,girl [gз:l],"девочка, девушка"
42,were [wз:],были,209,home [həum],дом
43,would [wud],1) вспом. глагол.; 2) модальный глагол,210,without [wi'ðaut],"без, в отсутствие"
44,like [laik],"похожий; как, подобно; любить, нравиться",211,heard [h:зd],"слышал, услышал"
45,when [(h)wen],когда,212,toward(s) [tə'wɔ:dz],к
46,could [kud],"мог, умел",213,need [ni:d],нуждаться
47,then [ðen],тогда; затем,214,stop [stɔp],остановка; останавливать(ся)
48,be  [bi:],"быть, существовать; находиться",215,maybe ['meibi],может быть
49,them [ðem],"их , им",216,part [pa:t],"доля, часть, отчасти"
50,did [did],"делал, выполнял",217,use [ju:z],"применение, польза; употреблять"
51,been [bi:n],"был, была, было",218,okay или OK [əu'kei],"хорошо!, ладно!, есть!"
52,now [nau],"теперь, сейчас",219,use [ju:z],"использовать, применять"
53,look [luk],"взгляд, смотреть",220,though [ðəu],"хотя, даже, тем не менее"
54,back [bæk],"спина, задний",221,far [fa:],дальний; далеко
55,my [mai],мой,222,name [neim],имя; название
56,no [nəu],"нет, не",223,word [wз:d],слово
57,your [jɔ:],"твой, ваш",224,behind [bi'haind],"за; сзади , позади"
58,which [(h)witʃ],который; что,225,try [trai],"пытаться, пробовать"
59,about [ə'baut],"кругом, вокруг; около; о, об, относительно",226,help [help],помощь; помогать
60,time [taim],время; раз,227,also ['ɔ:lsəu],"тоже, также"
61,down [daun],"вниз, внизу; вниз по, вдоль по",228,better ['betə],"лучший, наилучший"
62,into ['intu:],в,229,mean [mi:n],середина; значить; подразумевать
63,who [hu:],кто; который,230,father ['fa:ðə],отец
64,can  [kæn],мочь; уметь,231,against [ə'gen(t)st],против
65,know  [nəu],знать,232,anything ['eniθiŋ],что-нибудь; что угодно
66,if [if],если,233,start [sta:t],начало; начинать(ся)
67,just [dʒʌst],только что,234,yet [jet],"ещё, всё ещё"
68,their [ðɛə],их,235,walk [wɔ:k],ходьба; ходить
69,get  [get],получать; брать; приобретать,236,woman ['wumən],женщина
70,over ['əuvə],над; свыше,237,seen [si:n],видел
71,more [mɔ:],"больше, более",238,close [kləuz],"близкий, тесный; близко; закрывать(ся)"
72,some [sʌm],несколько,239,remember [ri'membə],"помнить, вспоминать"
73,man [mæn],"человек, мужчина",240,car [ka:],"автомобиль, машина"
74,come [kʌm],"приходить, приезжать; случаться",241,between [bi'twi:n],между
75,an [æn],неопределённый артикль,242,until [(ə)n'til],"до, (до тех пор) пока (не)"
76,so [səu],"так; тоже, также",243,both [bəuθ],оба
77,other ['ʌðə],"другой, иной, еще",244,done [dʌn],сделанный; выполненный
78,little ['litl],маленький,245,god [gɔd],бог
79,see [si:],видеть,246,find  [faind],"находить, обнаруживать"
80,here [hiə],"здесь, тут",247,water ['wɔ:tə],вода
81,thing [θiŋ],"вещь, предмет",248,arm [a:m],рука;
82,hand [hænd],рука,249,few [fju:],немного; a ~ несколько
83,by [bai],"у , около",250,hear [hiə],слышать; слушать
84,will [wil],1) вспом. гл. будущ. врем.; 2) модальный глагол,251,dog [dɔg],собака
85,way [wei],"путь, дорога",252,happen ['hæp(ə)n],случаться
86,again [ə'gein],"опять, снова",253,its [its],"его, её (о предмете)"
87,right [rait],правый; верно,254,book [buk],книга
88,only ['əunli],только,255,morning [mɔ:niŋ],"утро, утренний"
89,am [æm],1-е л. ед.ч. наст. врем. гл. to be,256,kid [kid],"ребёнок, малыш"
90,how [hau],как,257,street [stri:t],улица
91,think  [θiŋk],"думать; считать, полагать",258,believe [bi'li:v],верить
92,or [ɔ:],или,259,talk [tɔ:k],разговор; говорить
93,got [gɔt],получил,260,mother ['mʌðə],мать
94,good [gud],хороший; добро,261,kind [kaind],"сорт, разряд; вид, класс"
95,eye [ai],глаз; взгляд,262,coming ['kʌmiŋ],"прибытие, приезд,"
96,well [wel],хорошо,263,each [i:tʃ],"каждый, всякий"
97,thought [θɔ:t],"думал, мысль",264,black [blæk],черный
98,day [dei],день; сутки,265,half [ha:f],половина
99,two [tu:],два,266,red [red],"красный, алый, рыжий"
100,than [ðæn],"чем, нежели",267,stood [stu:d],"стоял, водружал"
101,before [bi'fɔ:],перед; раньше,268,young [jʌŋ],"молодой, юный"
102,where [(h)wɛə],где; куда,269,shall [ʃæl],вспомогательный и модальный глагол
103,very ['veri],очень,270,show [ʃəu],показ;  показывать
104,say  [sei],"говорить, сказать",271,feet [fi:t],ноги
105,came [keim],"приходил, приезжал",272,feel  [fi:l],чувствовать
106,any ['eni],какой-нибудь,273,keep  [ki:p],держать
107,old [əuld],старый,274,next [nekst],следующий; будущий; потом
108,still [stil],тихий; все еще,275,dark [da:k],тёмный
109,after ['a:ftə],"после, через; потом",276,along [ə'lɔŋ],"вдоль, по, рядом"
110,off [ɔv],"с , от",277,pass [pa:s],"проход, путь, передавать"
111,has [hæz],"имел, имела",278,course [kɔ:s],"курс, ход, течение"
112,never ['nevə],никогда,279,window ['windəu],окно
113,going ['gəiŋ],"живущий, существующий, ходьба",280,dead [ded],мертвый
114,even ['i:v(ə)n],даже; ровно,281,hour [auə],"час, время"
115,much [mʌtʃ],много,282,wanted ['wɔntid],разыскиваемый полицией
116,went [went],"шёл, ехал",283,matter [mætə],"вещество, материал, иметь значение"
117,too [tu:],также; слишком,284,since [sin(t)s],"с тех пор, с, после"
118,away [ə'wei],далеко; прочь,285,cry [krai],плакать
119,something ['sʌmθiŋ],"что-то, что-нибудь; примерно",286,heart [ha:t],сердце
120,first [fз:st],первый; сначала,287,answer ['a:n(t)sə],"ответ, отвечать; откликаться"
121,make  [meik],"делать, производить; совершать",288,small [smɔ:l],маленький
122,head [hed],голова,289,yeah [jɛə],да
123,want [wɔnt],хотеть,290,doing ['du:iŋ],"дела, акт, действие"
124,turn [tз:n],поворачивать(ся),291,four [fɔ:],четыре
125,face [feis],лицо,292,move [mu:v],двигать(ся)
126,made [meid],"сделан, сделанный",293,live [liv],"жить, существовать,"
127,seem [si:m],казаться,294,suddenly ['sʌd(ə)nli],вдруг
128,call [kɔ:l],призыв; звать,295,five [faiv],пять
129,ask [a:sk],спрашивать,296,body ['bɔdy],тело
130,should [ʃud],"1) вспом. глагол; 2)  должен, следует",297,fire ['faiə],огонь; пожар; стрелять; поджигать
131,through [θru:],"через , сквозь",298,mouth [mauθ],рот
132,long [lɔŋ],длинный; долго,299,leave  [li:v],покидать
133,let  [let],позволять,300,smile [smail],улыбка; улыбаться
134,take [teik],брать; доставлять; принимать,301,state [steit],"государство, страна, штат"
135,saw [sɔ:],"видел, пила",302,family ['fæm(ə)li],семья
136,around [ə'raund],"кругом, вокруг; поблизости",303,road [rəud],"дорога, путь"
137,our ['auə],наш,304,front [trʌnt],передний
138,door [dɔ:],дверь,305,laugh [la:f],"смех, смеяться"
139,last [la:st],последний,306,gave [geiv],"давал, передавал"
140,tell  [tel],говорить,307,across [ə'krɔs],"через, сквозь; поперек"
141,might [mait],"мог, мог бы, энергия",308,step [step],шаг; шагать
142,own [əun],свой; владеть,309,quite [kwait],"вполне, совершенно; полностью"
143,night [nait],ночь; вечер,310,change [tʃeindʒ],"менять, изменять"
144,year [jiə],год,311,later ['leitə'],"позже, более поздний"
145,must [mʌst],"должен, обязан",312,together [təgeðə],вместе; совместно
146,because [bi:kɔz],потому что,313,soon [su:n],"скоро, вскоре"
147,voice [vɔis],голос,314,least [li:st],"минимальный, наименьший"
148,such [sʌtʃ],"такой, тот, подобный",315,second ['sek(ə)nd],секунда; второй
149,room [ru:m],комната,316,kill [kil],убивать
150,place [pleis],место; помещать,317,watch [wɔtʃ],"1) смотреть, следить; наблюдение; 2) часы"
151,those [ðəuz],те,318,wife [waif],"жена, супруга"
152,work [wз:k],работа; работать,319,hard [ha:d],"жёсткий, твёрдый"
153,put  [put],положить,320,wait [weit],ждать
154,bill [bil],"счёт, законопроект, клюв",321,sat [sæt],"сидел, находился"
155,nothing ['nʌθiŋ],ничего,322,feeling ['fi:liŋ],"ощущение, чувство"
156,most [məust],"самый большой, наибольший",323,high [hai],высокий
157,house [haus],дом,324,guy [gai],парень
158,why [(h)wai],почему,325,idea [ai:diə],идея; мысль
159,may [mei],мочь; май,326,line [lain],"линия; черта, строка"
160,side [said],сторона,327,fear [fiə],"боязнь, страх"
161,great [greit],"большой, великий",328,miss [mis],"потеря, утрата"
162,these [ði:z],эти,329,bad [bæd],плохой
163,white [(h)wait],белый,330,hair [hɛə],волосы
164,people ['pi:pl],"люди, нация, народ",331,minute ['minit],минута
165,upon [ə'pɔn],на,332,everything ['evriθiŋ],всё
166,left [left],"левый, налево, покинул, уехал",333,please [pli:z],"пожалуйста, желать, хотеть"
167,open ['əup(ə)n],открывать(ся),-,-,-
